case,CaseName,ρPre,ρPost,ρDelta,DRIPre,DRIPost,DRIDelta,MeanPermutedDRIPre,MeanPermutedDRIPost,MeanPermutedDRIDelta,pValuePre,pValuePost,pValueDelta,CIPre,CIPost,CIDelta
12.0,Fremantle Bridge,0.3377308004602853,0.6898130435535201,0.3520822430932348,0.2109391919163477,0.33810436303812064,0.1243661852461524,0.0748736800401902,0.06749244140180999,-0.010346040992777392,0.0,0.0,0.0,"(0.03140234041746321, 0.1469774477271547)","(-0.007552655808088284, 0.19504477826948582)","(-0.09601191004291601, 0.08789636263232897)"
13.0,CCPS,0.3975580856725785,0.23034156043514672,-0.16721652523743177,0.5295712223574569,0.617570521982931,0.11095734978589356,0.4059391264537392,0.5701353929374089,0.12676978895074714,0.0,0.024,0.56,"(0.3429127652827251, 0.49055458319135953)","(0.5248513845478051, 0.6231948252710701)","(0.06104229130790789, 0.19043133524397746)"
14.0,Energy Futures_WA,0.18244446416712837,0.46090596278863644,0.27846149862150804,0.24592118626077153,0.48095328169342166,0.23570229923803754,0.1842146355745034,0.34546263915263276,0.12504378810330152,0.112,0.0,0.006,"(0.10686108041036772, 0.2924115498790442)","(0.28752048706594224, 0.41724690378796436)","(0.03818048290081475, 0.22518983092365066)"
15.0,Energy Futures_NSW,-0.0778333562979915,0.31777622279952655,0.39560957909751804,0.24460076229104488,0.4685390075854803,0.2655861184982551,0.25858711673965473,0.40979359230771784,0.16532980390911933,0.9119999999999999,0.038,0.04,"(0.1523874537700214, 0.42399846845825667)","(0.3448180620882976, 0.4791875559402024)","(0.04109201748160268, 0.2793251897233828)"
16.0,Energy Futures_Vic,0.31961444429351676,0.5414126232688722,0.22179817897535542,0.2842890144449495,0.6172403417825487,0.20763591356208222,0.22657425942200896,0.46069342592943663,0.10719924917009097,0.264,0.0,0.006,"(0.14520924703919494, 0.35735168694346076)","(0.37760618239626337, 0.5749363154781234)","(0.013380405443689165, 0.1974795008874209)"
17.0,Valsamoggia,0.8158376011272916,0.6611798677611801,-0.15465773336611155,0.35959642113536106,0.3060081127341603,0.06359040720655362,-0.1604965003218232,-0.07617325856677587,0.08166645696580054,0.0,0.002,0.768,"(-0.31438248146936704, 0.2063650124557315)","(-0.2259491159255253, 0.2583796553425123)","(-0.13446922286087634, 0.26691440732239524)"
18.0,GBR Futures,0.21371960024171371,-0.11957328546002241,-0.3332928857017361,0.53337040405532,0.6527827367810135,-0.04789750933061887,0.4780777407534401,0.6396720673573151,-0.051078430234922326,0.248,0.558,0.88,"(0.3500801026489623, 0.6069976172495959)","(0.5928647573345802, 0.697867730454278)","(-0.12843853851506948, 0.029748013228310555)"
0.19,AusCJ_Control,0.2379767248874668,0.29063180933846017,0.05265508445099337,0.4294794268123392,0.44966442083771163,0.0019425544233928616,0.3865480753168546,0.3581443339642624,-0.0029284337491471,0.084,0.002,0.818,"(0.33656557293181544, 0.4519683649113777)","(0.3016962770899158, 0.43864647820434294)","(-0.06916011961981516, 0.06754762427938148)"
19.0,AusCJ,0.2637882651653165,0.5415709206463603,0.27778265548104375,0.33578659841333525,0.47449406473591416,0.12549764386948215,0.23548029359112602,0.2992999190916987,0.08640201933186921,0.01,0.0,0.262,"(0.1723162521856919, 0.33180457607233266)","(0.21590609061406357, 0.4132923264150357)","(-0.011426707380917597, 0.17548701313262233)"
-1.0,Means,0.24387151885313502,0.37410221555928835,0.13023069670615328,0.31510398423120345,0.44104312421446845,0.11899414700815933,0.22904547440207487,0.32406010262303997,0.07564581359794204,0.2703809523809524,0.15885714285714284,0.4389523809523809,"(0.15086322399086213, 0.3434090413712231)","(0.2463505801159053, 0.43128155375756866)","(-0.033581605802653916, 0.18082855790914648)"
