StudyID,Study,CaseID,Case,Participant,DRIPre,DRIPost
6,Biobanking,11.0,Biobanking_WA_Stakeholders,213.0,0.42296696112118837,0.25123529332535655
6,Biobanking,11.0,Biobanking_WA_Stakeholders,214.0,0.17081360881298968,0.2693894408769675
6,Biobanking,11.0,Biobanking_WA_Stakeholders,215.0,0.2444365792151486,0.23492760632259757
6,Biobanking,11.0,Biobanking_WA_Stakeholders,216.0,0.17318890806038523,0.4308047092308702
6,Biobanking,11.0,Biobanking_WA_Stakeholders,217.0,0.241759943370349,0.402732756934171
6,Biobanking,11.0,Biobanking_WA_Stakeholders,218.0,0.19768368997232444,-0.7357363837941198
6,Biobanking,11.0,Biobanking_WA_Stakeholders,219.0,0.4966562943955326,0.2851321932092432
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,221.0,0.20768400728340874,0.5224194800059578
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,222.0,0.2741418782558602,0.4657220446290977
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,223.0,0.015028335086717304,0.20743015373030693
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,224.0,0.1470181022590593,0.04067141698801047
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,225.0,0.11115466355469339,0.30525450645073526
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,226.0,0.18727424716987184,0.30600709574847995
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,227.0,0.2842383675922604,0.36297134662192776
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,228.0,0.22374979558229358,0.0956272469011552
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,229.0,0.4833238718303421,0.4201087460125197
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,230.0,0.4316959891156875,0.10927048312051335
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,231.0,0.26810215637035495,0.5150734375936439
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,232.0,0.17435955307828,0.3587031874228419
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,233.0,-0.1200192193425097,0.2818563496538786
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,234.0,0.07219999933986188,0.4876233327763475
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,235.0,0.15660863515249335,0.2674256373148922
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,236.0,0.28959021597718726,0.5725177710021887
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,237.0,0.053285128343031785,0.35780973494969537
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,238.0,0.334675287630926,0.3848738516175403
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,239.0,0.048279232192465216,0.4039259660284127
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,240.0,0.40252735117528426,0.05408653157485266
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,241.0,0.19145771682636514,0.4650322344672386
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,242.0,0.16820234461709682,0.11372658226163357
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,243.0,0.3876755082926471,0.5322194940811324
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,244.0,0.23801876670198108,0.3973221088863663
